DATE,DEXCAUS
2015-01-02,1.1725
2015-01-05,1.1785
2015-01-06,1.1802
2015-01-07,1.1851
2015-01-08,1.1812
2015-01-09,1.1857
2015-01-12,1.1929
2015-01-13,1.1947
2015-01-14,1.1957
2015-01-15,1.1932
2015-01-16,1.1986
2015-01-19,.
2015-01-20,1.2085
2015-01-21,1.2377
2015-01-22,1.2370
2015-01-23,1.2400
2015-01-26,1.2409
2015-01-27,1.2402
2015-01-28,1.2452
2015-01-29,1.2644
2015-01-30,1.2716
2015-02-02,1.2577
2015-02-03,1.2452
2015-02-04,1.2550
2015-02-05,1.2419
2015-02-06,1.2524
2015-02-09,1.2448
2015-02-10,1.2528
2015-02-11,1.2635
2015-02-12,1.2464
2015-02-13,1.2449
2015-02-16,.
2015-02-17,1.2401
2015-02-18,1.2456
2015-02-19,1.2484
2015-02-20,1.2503
2015-02-23,1.2577
2015-02-24,1.2601
2015-02-25,1.2418
2015-02-26,1.2490
2015-02-27,1.2506
2015-03-02,1.2535
2015-03-03,1.2450
2015-03-04,1.2439
2015-03-05,1.2482
2015-03-06,1.2615
2015-03-09,1.2598
2015-03-10,1.2633
2015-03-11,1.2763
2015-03-12,1.2692
2015-03-13,1.2803
2015-03-16,1.2763
2015-03-17,1.2769
2015-03-18,1.2771
2015-03-19,1.2743
2015-03-20,1.2593
2015-03-23,1.2515
2015-03-24,1.2510
2015-03-25,1.2513
2015-03-26,1.2469
2015-03-27,1.2579
2015-03-30,1.2687
2015-03-31,1.2681
2015-04-01,1.2610
2015-04-02,1.2584
2015-04-03,1.2465
2015-04-06,1.2450
2015-04-07,1.2488
2015-04-08,1.2508
2015-04-09,1.2580
2015-04-10,1.2596
2015-04-13,1.2603
2015-04-14,1.2476
2015-04-15,1.2378
2015-04-16,1.2206
2015-04-17,1.2225
2015-04-20,1.2203
2015-04-21,1.2274
2015-04-22,1.2250
2015-04-23,1.2148
2015-04-24,1.2168
2015-04-27,1.2106
2015-04-28,1.2021
2015-04-29,1.1955
2015-04-30,1.2116
2015-05-01,1.2191
2015-05-04,1.2108
2015-05-05,1.2038
2015-05-06,1.2007
2015-05-07,1.2139
2015-05-08,1.2086
2015-05-11,1.2107
2015-05-12,1.1987
2015-05-13,1.1950
2015-05-14,1.1991
2015-05-15,1.2009
2015-05-18,1.2150
2015-05-19,1.2213
2015-05-20,1.2212
2015-05-21,1.2201
2015-05-22,1.2288
2015-05-25,.
2015-05-26,1.2428
2015-05-27,1.2483
2015-05-28,1.2474
2015-05-29,1.2466
2015-06-01,1.2547
2015-06-02,1.2425
2015-06-03,1.2437
2015-06-04,1.2477
2015-06-05,1.2488
2015-06-08,1.2435
2015-06-09,1.2316
2015-06-10,1.2267
2015-06-11,1.2314
2015-06-12,1.2306
2015-06-15,1.2321
2015-06-16,1.2328
2015-06-17,1.2307
2015-06-18,1.2206
2015-06-19,1.2273
2015-06-22,1.2286
2015-06-23,1.2326
2015-06-24,1.2413
2015-06-25,1.2346
2015-06-26,1.2358
2015-06-29,1.2380
2015-06-30,1.2473
2015-07-01,1.2559
2015-07-02,1.2566
2015-07-03,.
2015-07-06,1.2623
2015-07-07,1.2742
2015-07-08,1.2724
2015-07-09,1.2727
2015-07-10,1.2713
2015-07-13,1.2762
2015-07-14,1.2746
2015-07-15,1.2935
2015-07-16,1.2938
2015-07-17,1.2997
2015-07-20,1.2982
2015-07-21,1.2958
2015-07-22,1.3023
2015-07-23,1.3030
2015-07-24,1.3059
2015-07-27,1.3008
2015-07-28,1.2933
2015-07-29,1.2893
2015-07-30,1.3024
2015-07-31,1.3047
2015-08-03,1.3141
2015-08-04,1.3124
2015-08-05,1.3181
2015-08-06,1.3152
2015-08-07,1.3122
2015-08-10,1.3056
2015-08-11,1.3149
2015-08-12,1.2973
2015-08-13,1.3078
2015-08-14,1.3075
2015-08-17,1.3090
2015-08-18,1.3075
2015-08-19,1.3165
2015-08-20,1.3075
2015-08-21,1.3146
2015-08-24,1.3210
2015-08-25,1.3295
2015-08-26,1.3301
2015-08-27,1.3193
2015-08-28,1.3268
2015-08-31,1.3223
2015-09-01,1.3180
2015-09-02,1.3308
2015-09-03,1.3200
2015-09-04,1.3272
2015-09-07,.
2015-09-08,1.3193
2015-09-09,1.3221
2015-09-10,1.3218
2015-09-11,1.3274
2015-09-14,1.3265
2015-09-15,1.3261
2015-09-16,1.3180
2015-09-17,1.3186
2015-09-18,1.3146
2015-09-21,1.3249
2015-09-22,1.3276
2015-09-23,1.3313
2015-09-24,1.3348
2015-09-25,1.3322
2015-09-28,1.3360
2015-09-29,1.3414
2015-09-30,1.3396
2015-10-01,1.3240
2015-10-02,1.3213
2015-10-05,1.3084
2015-10-06,1.3056
2015-10-07,1.3038
2015-10-08,1.3017
2015-10-09,1.2945
2015-10-12,.
2015-10-13,1.2984
2015-10-14,1.2983
2015-10-15,1.2901
2015-10-16,1.2932
2015-10-19,1.2999
2015-10-20,1.2974
2015-10-21,1.3117
2015-10-22,1.3087
2015-10-23,1.3171
2015-10-26,1.3134
2015-10-27,1.3242
2015-10-28,1.3149
2015-10-29,1.3169
2015-10-30,1.3082
2015-11-02,1.3093
2015-11-03,1.3107
2015-11-04,1.3164
2015-11-05,1.3162
2015-11-06,1.3307
2015-11-09,1.3274
2015-11-10,1.3258
2015-11-11,.
2015-11-12,1.3309
2015-11-13,1.3332
2015-11-16,1.3352
2015-11-17,1.3324
2015-11-18,1.3351
2015-11-19,1.3266
2015-11-20,1.3337
2015-11-23,1.3358
2015-11-24,1.3308
2015-11-25,1.3298
2015-11-26,.
2015-11-27,1.3360
2015-11-30,1.3332
2015-12-01,1.3372
2015-12-02,1.3357
2015-12-03,1.3393
2015-12-04,1.3364
2015-12-07,1.3508
2015-12-08,1.3594
2015-12-09,1.3595
2015-12-10,1.3598
2015-12-11,1.3695
2015-12-14,1.3732
2015-12-15,1.3729
2015-12-16,1.3805
2015-12-17,1.3970
2015-12-18,1.3876
2015-12-21,1.3989
2015-12-22,1.3929
2015-12-23,1.3860
2015-12-24,1.3847
2015-12-25,.
2015-12-28,1.3893
2015-12-29,1.3848
2015-12-30,1.3883
2015-12-31,1.3839
2016-01-01,.
2016-01-04,1.3970
2016-01-05,1.3991
2016-01-06,1.4084
2016-01-07,1.4061
2016-01-08,1.4150
2016-01-11,1.4203
2016-01-12,1.4293
2016-01-13,1.4294
2016-01-14,1.4374
2016-01-15,1.4531
2016-01-18,.
2016-01-19,1.4513
2016-01-20,1.4592
2016-01-21,1.4244
2016-01-22,1.4153
2016-01-25,1.4248
2016-01-26,1.4062
2016-01-27,1.4040
2016-01-28,1.4077
2016-01-29,1.4074
2016-02-01,1.4005
2016-02-02,1.4039
2016-02-03,1.3843
2016-02-04,1.3724
2016-02-05,1.3875
2016-02-08,1.3921
2016-02-09,1.3860
2016-02-10,1.3969
2016-02-11,1.3933
2016-02-12,1.3834
2016-02-15,.
2016-02-16,1.3857
2016-02-17,1.3682
2016-02-18,1.3718
2016-02-19,1.3798
2016-02-22,1.3684
2016-02-23,1.3791
2016-02-24,1.3765
2016-02-25,1.3572
2016-02-26,1.3546
2016-02-29,1.3522
2016-03-01,1.3404
2016-03-02,1.3466
2016-03-03,1.3405
2016-03-04,1.3337
2016-03-07,1.3300
2016-03-08,1.3388
2016-03-09,1.3233
2016-03-10,1.3372
2016-03-11,1.3211
2016-03-14,1.3291
2016-03-15,1.3355
2016-03-16,1.3364
2016-03-17,1.2982
2016-03-18,1.2980
2016-03-21,1.3067
2016-03-22,1.3051
2016-03-23,1.3199
2016-03-24,1.3270
2016-03-25,1.3264
2016-03-28,1.3184
2016-03-29,1.3153
2016-03-30,1.2962
2016-03-31,1.2969
2016-04-01,1.3047
2016-04-04,1.3037
2016-04-05,1.3175
2016-04-06,1.3073
2016-04-07,1.3163
2016-04-08,1.2994
2016-04-11,1.2912
2016-04-12,1.2800
2016-04-13,1.2789
2016-04-14,1.2835
2016-04-15,1.2857
2016-04-18,1.2815
2016-04-19,1.2654
2016-04-20,1.2623
2016-04-21,1.2713
2016-04-22,1.2672
2016-04-25,1.2678
2016-04-26,1.2614
2016-04-27,1.2637
2016-04-28,1.2544
2016-04-29,1.2549
2016-05-02,1.2544
2016-05-03,1.2686
2016-05-04,1.2882
2016-05-05,1.2855
2016-05-06,1.2920
2016-05-09,1.2994
2016-05-10,1.2957
2016-05-11,1.2834
2016-05-12,1.2857
2016-05-13,1.2939
2016-05-16,1.2886
2016-05-17,1.2884
2016-05-18,1.2924
2016-05-19,1.3114
2016-05-20,1.3136
2016-05-23,1.3155
2016-05-24,1.3117
2016-05-25,1.3089
2016-05-26,1.2980
2016-05-27,1.3001
2016-05-30,.
2016-05-31,1.3097
2016-06-01,1.3089
2016-06-02,1.3080
2016-06-03,1.2947
2016-06-06,1.2856
2016-06-07,1.2788
2016-06-08,1.2694
2016-06-09,1.2728
2016-06-10,1.2734
2016-06-13,1.2791
2016-06-14,1.2833
2016-06-15,1.2912
2016-06-16,1.3039
2016-06-17,1.2875
2016-06-20,1.2807
2016-06-21,1.2817
2016-06-22,1.2820
2016-06-23,1.2749
2016-06-24,1.2948
2016-06-27,1.3076
2016-06-28,1.3086
2016-06-29,1.2990
2016-06-30,1.3010
2016-07-01,1.2897
2016-07-04,.
2016-07-05,1.2950
2016-07-06,1.3003
2016-07-07,1.2984
2016-07-08,1.3072
2016-07-11,1.3125
2016-07-12,1.3016
2016-07-13,1.2962
2016-07-14,1.2916
2016-07-15,1.2978
2016-07-18,1.2984
2016-07-19,1.3027
2016-07-20,1.3037
2016-07-21,1.3056
2016-07-22,1.3178
2016-07-25,1.3224
2016-07-26,1.3207
2016-07-27,1.3221
2016-07-28,1.3170
2016-07-29,1.3040
2016-08-01,1.3096
2016-08-02,1.3087
2016-08-03,1.3078
2016-08-04,1.3025
2016-08-05,1.3179
2016-08-08,1.3162
2016-08-09,1.3116
2016-08-10,1.3059
2016-08-11,1.3004
2016-08-12,1.2943
2016-08-15,1.2922
2016-08-16,1.2861
2016-08-17,1.2885
2016-08-18,1.2777
2016-08-19,1.2878
2016-08-22,1.2942
2016-08-23,1.2904
2016-08-24,1.2939
2016-08-25,1.2934
2016-08-26,1.2944
2016-08-29,1.3018
2016-08-30,1.3075
2016-08-31,1.3122
2016-09-01,1.3107
2016-09-02,1.2998
2016-09-05,.
2016-09-06,1.2843
2016-09-07,1.2895
2016-09-08,1.2910
2016-09-09,1.3034
2016-09-12,1.3076
2016-09-13,1.3167
2016-09-14,1.3187
2016-09-15,1.3145
2016-09-16,1.3212
2016-09-19,1.3180
2016-09-20,1.3228
2016-09-21,1.3186
2016-09-22,1.3036
2016-09-23,1.3163
2016-09-26,1.3196
2016-09-27,1.3247
2016-09-28,1.3237
2016-09-29,1.3101
2016-09-30,1.3115
2016-10-03,1.3138
2016-10-04,1.3171
2016-10-05,1.3177
2016-10-06,1.3209
2016-10-07,1.3306
2016-10-10,.
2016-10-11,1.3235
2016-10-12,1.3277
2016-10-13,1.3219
2016-10-14,1.3169
2016-10-17,1.3135
2016-10-18,1.3105
2016-10-19,1.3105
2016-10-20,1.3197
2016-10-21,1.3324
2016-10-24,1.3387
2016-10-25,1.3333
2016-10-26,1.3361
2016-10-27,1.3385
2016-10-28,1.3383
2016-10-31,1.3403
2016-11-01,1.3377
2016-11-02,1.3387
2016-11-03,1.3384
2016-11-04,1.3413
2016-11-07,1.3380
2016-11-08,1.3335
2016-11-09,1.3406
2016-11-10,1.3474
2016-11-11,.
2016-11-14,1.3581
2016-11-15,1.3468
2016-11-16,1.3415
2016-11-17,1.3429
2016-11-18,1.3518
2016-11-21,1.3432
2016-11-22,1.3444
2016-11-23,1.3467
2016-11-24,.
2016-11-25,1.3512
2016-11-28,1.3401
2016-11-29,1.3435
2016-11-30,1.3425
2016-12-01,1.3330
2016-12-02,1.3298
2016-12-05,1.3271
2016-12-06,1.3279
2016-12-07,1.3251
2016-12-08,1.3220
2016-12-09,1.3162
2016-12-12,1.3137
2016-12-13,1.3119
2016-12-14,1.3123
2016-12-15,1.3397
2016-12-16,1.3339
2016-12-19,1.3395
2016-12-20,1.3376
2016-12-21,1.3401
2016-12-22,1.3470
2016-12-23,1.3533
2016-12-26,.
2016-12-27,1.3553
2016-12-28,1.3555
2016-12-29,1.3488
2016-12-30,1.3426
2017-01-02,.
2017-01-03,1.3437
2017-01-04,1.3293
2017-01-05,1.3216
2017-01-06,1.3216
2017-01-09,1.3220
2017-01-10,1.3208
2017-01-11,1.3219
2017-01-12,1.3130
2017-01-13,1.3134
2017-01-16,.
2017-01-17,1.3060
2017-01-18,1.3175
2017-01-19,1.3327
2017-01-20,.
2017-01-23,1.3283
2017-01-24,1.3152
2017-01-25,1.3074
2017-01-26,1.3104
2017-01-27,1.3108
2017-01-30,1.3092
2017-01-31,1.3030
2017-02-01,1.3088
2017-02-02,1.3018
2017-02-03,1.3003
2017-02-06,1.3116
2017-02-07,1.3166
2017-02-08,1.3156
2017-02-09,1.3139
2017-02-10,1.3073
2017-02-13,1.3072
2017-02-14,1.3092
2017-02-15,1.3082
2017-02-16,1.3056
2017-02-17,1.3114
2017-02-20,.
2017-02-21,1.3149
2017-02-22,1.3188
2017-02-23,1.3109
2017-02-24,1.3106
2017-02-27,1.3100
2017-02-28,1.3247
2017-03-01,1.3345
2017-03-02,1.3384
2017-03-03,1.3419
2017-03-06,1.3410
2017-03-07,1.3413
2017-03-08,1.3479
2017-03-09,1.3504
2017-03-10,1.3468
2017-03-13,1.3453
2017-03-14,1.3462
2017-03-15,1.3451
2017-03-16,1.3316
2017-03-17,1.3366
2017-03-20,1.3357
2017-03-21,1.3321
2017-03-22,1.3347
2017-03-23,1.3332
2017-03-24,1.3373
2017-03-27,1.3367
2017-03-28,1.3363
2017-03-29,1.3372
2017-03-30,1.3278
2017-03-31,1.3321
2017-04-03,1.3388
2017-04-04,1.3413
2017-04-05,1.3410
2017-04-06,1.3409
2017-04-07,1.3396
2017-04-10,1.3347
2017-04-11,1.3333
2017-04-12,1.3302
2017-04-13,1.3266
2017-04-14,1.3316
2017-04-17,1.3277
2017-04-18,1.3381
2017-04-19,1.3467
2017-04-20,1.3479
2017-04-21,1.3502
2017-04-24,1.3517
2017-04-25,1.3614
2017-04-26,1.3591
2017-04-27,1.3664
2017-04-28,1.3669
2017-05-01,1.3653
2017-05-02,1.3742
2017-05-03,1.3705
2017-05-04,1.3745
2017-05-05,1.3699
2017-05-08,1.3712
2017-05-09,1.3715
2017-05-10,1.3652
2017-05-11,1.3693
2017-05-12,1.3717
2017-05-15,1.3648
2017-05-16,1.3590
2017-05-17,1.3594
2017-05-18,1.3604
2017-05-19,1.3537
2017-05-22,1.3503
2017-05-23,1.3492
2017-05-24,1.3454
2017-05-25,1.3457
2017-05-26,1.3454
2017-05-29,.
2017-05-30,1.3462
2017-05-31,1.3498
2017-06-01,1.3484
2017-06-02,1.3500
2017-06-05,1.3484
2017-06-06,1.3451
2017-06-07,1.3514
2017-06-08,1.3494
2017-06-09,1.3434
2017-06-12,1.3447
2017-06-13,1.3226
2017-06-14,1.3201
2017-06-15,1.3286
2017-06-16,1.3235
2017-06-19,1.3202
2017-06-20,1.3268
2017-06-21,1.3323
2017-06-22,1.3236
2017-06-23,1.3263
2017-06-26,1.3228
2017-06-27,1.3176
2017-06-28,1.3043
2017-06-29,1.3010
2017-06-30,1.2982
2017-07-03,1.3000
2017-07-04,.
2017-07-05,1.2998
2017-07-06,1.2933
2017-07-07,1.2870
2017-07-10,1.2883
2017-07-11,1.2921
2017-07-12,1.2768
2017-07-13,1.2739
